[26-Oct-2017 14:29:48 Asia/Tokyo] PHP Parse error:  syntax error, unexpected ',' in /home/ubuntu/workspace/crecamania/storage/framework/views/99d10eed20730aba90d00e8fd84d2f0b on line 38
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP   1. {main}() /home/ubuntu/workspace/crecamania/server.php:0
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP   2. require_once() /home/ubuntu/workspace/crecamania/server.php:21
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP   3. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/crecamania/public/index.php:54
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP   4. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:87
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP   5. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:122
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP   6. call_user_func:{/home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP   7. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP   8. call_user_func_array:{/home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP   9. Illuminate\Foundation\Http\Middleware\CheckForMaintenanceMode->handle() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  10. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:44
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  11. call_user_func_array:{/home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  12. Illuminate\Cookie\Middleware\EncryptCookies->handle() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  13. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:59
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  14. call_user_func_array:{/home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  15. Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse->handle() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  16. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  17. call_user_func_array:{/home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  18. Illuminate\Session\Middleware\StartSession->handle() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  19. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:62
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  20. call_user_func_array:{/home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  21. Illuminate\View\Middleware\ShareErrorsFromSession->handle() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  22. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  23. call_user_func_array:{/home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  24. Illuminate\Foundation\Http\Middleware\VerifyCsrfToken->handle() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  25. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:50
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  26. call_user_func:{/home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  27. Illuminate\Foundation\Http\Kernel->Illuminate\Foundation\Http\{closure}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  28. Illuminate\Routing\Router->dispatch() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:236
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  29. Illuminate\Routing\Router->dispatchToRoute() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Routing/Router.php:635
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  30. Illuminate\Routing\Router->runRouteWithinStack() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Routing/Router.php:675
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  31. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Routing/Router.php:710
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  32. call_user_func:{/home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  33. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  34. call_user_func:{/home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  35. Illuminate\Routing\Router->Illuminate\Routing\{closure}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  36. Illuminate\Routing\Route->run() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Routing/Router.php:708
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  37. Illuminate\Routing\Route->runWithCustomDispatcher() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Routing/Route.php:134
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  38. Illuminate\Routing\ControllerDispatcher->dispatch() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Routing/Route.php:203
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  39. Illuminate\Routing\ControllerDispatcher->makeController() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:57
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  40. Illuminate\Foundation\Application->make() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:85
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  41. Illuminate\Container\Container->make() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:674
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  42. Illuminate\Container\Container->build() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Container/Container.php:631
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  43. ReflectionClass->__construct() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Container/Container.php:741
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  44. spl_autoload_call() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Container/Container.php:741
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  45. Composer\Autoload\ClassLoader->loadClass() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Container/Container.php:741
[28-Oct-2017 12:29:25 Asia/Tokyo] PHP  46. Composer\Autoload\includeFile() /home/ubuntu/workspace/crecamania/vendor/composer/ClassLoader.php:322
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP Fatal error:  Cannot use Request as Request because the name is already in use in /home/ubuntu/workspace/crecamania/app/Http/Controllers/CardsController.php on line 11
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP Stack trace:
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP   1. {main}() /home/ubuntu/workspace/crecamania/server.php:0
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP   2. require_once() /home/ubuntu/workspace/crecamania/server.php:21
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP   3. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/crecamania/public/index.php:54
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP   4. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:87
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP   5. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:122
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP   6. call_user_func:{/home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP   7. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP   8. call_user_func_array:{/home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP   9. Illuminate\Foundation\Http\Middleware\CheckForMaintenanceMode->handle() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  10. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:44
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  11. call_user_func_array:{/home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  12. Illuminate\Cookie\Middleware\EncryptCookies->handle() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  13. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:59
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  14. call_user_func_array:{/home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  15. Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse->handle() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  16. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  17. call_user_func_array:{/home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  18. Illuminate\Session\Middleware\StartSession->handle() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  19. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:62
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  20. call_user_func_array:{/home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  21. Illuminate\View\Middleware\ShareErrorsFromSession->handle() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  22. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  23. call_user_func_array:{/home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  24. Illuminate\Foundation\Http\Middleware\VerifyCsrfToken->handle() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  25. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:50
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  26. call_user_func:{/home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  27. Illuminate\Foundation\Http\Kernel->Illuminate\Foundation\Http\{closure}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  28. Illuminate\Routing\Router->dispatch() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:236
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  29. Illuminate\Routing\Router->dispatchToRoute() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Routing/Router.php:635
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  30. Illuminate\Routing\Router->runRouteWithinStack() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Routing/Router.php:675
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  31. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Routing/Router.php:710
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  32. call_user_func:{/home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  33. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  34. call_user_func:{/home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  35. Illuminate\Routing\Router->Illuminate\Routing\{closure}() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:139
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  36. Illuminate\Routing\Route->run() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Routing/Router.php:708
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  37. Illuminate\Routing\Route->runWithCustomDispatcher() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Routing/Route.php:134
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  38. Illuminate\Routing\ControllerDispatcher->dispatch() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Routing/Route.php:203
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  39. Illuminate\Routing\ControllerDispatcher->makeController() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:57
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  40. Illuminate\Foundation\Application->make() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:85
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  41. Illuminate\Container\Container->make() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:674
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  42. Illuminate\Container\Container->build() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Container/Container.php:631
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  43. ReflectionClass->__construct() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Container/Container.php:741
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  44. spl_autoload_call() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Container/Container.php:741
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  45. Composer\Autoload\ClassLoader->loadClass() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Container/Container.php:741
[28-Oct-2017 13:19:24 Asia/Tokyo] PHP  46. Composer\Autoload\includeFile() /home/ubuntu/workspace/crecamania/vendor/composer/ClassLoader.php:322
[28-Oct-2017 13:19:36 Asia/Tokyo] PHP Fatal error:  Cannot use Request as Request because the name is already in use in /home/ubuntu/workspace/crecamania/app/Http/Controllers/CardsController.php on line 11
[28-Oct-2017 13:19:36 Asia/Tokyo] PHP Stack trace:
[28-Oct-2017 13:19:36 Asia/Tokyo] PHP   1. {main}() /home/ubuntu/workspace/crecamania/server.php:0
[28-Oct-2017 13:19:36 Asia/Tokyo] PHP   2. require_once() /home/ubuntu/workspace/crecamania/server.php:21
[28-Oct-2017 13:19:36 Asia/Tokyo] PHP   3. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/crecamania/public/index.php:54
[28-Oct-2017 13:19:36 Asia/Tokyo] PHP   4. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/crecamania/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:87
